Epoch,Train Loss,Val Loss,Val Dice,Val IoU
1,0.407756,0.320371,0.661034,0.531877
2,0.164383,0.104057,0.901628,0.824402
3,0.080521,0.056390,0.948032,0.902625
4,0.042507,0.032695,0.970112,0.942140
5,0.034625,0.052148,0.958543,0.920700
6,0.028809,0.024261,0.978252,0.957542
7,0.022689,0.022210,0.980391,0.961621
8,0.017699,0.017369,0.984481,0.969476
9,0.015218,0.014843,0.986751,0.973883
10,0.012805,0.012559,0.989043,0.978348
11,0.012357,0.011967,0.989437,0.979115
12,0.011013,0.011755,0.989592,0.979419
13,0.010068,0.009994,0.991194,0.982557
14,0.009259,0.009335,0.991703,0.983555
15,0.009306,0.009745,0.991413,0.982989
16,0.008602,0.008704,0.992289,0.984708
17,0.008178,0.008373,0.992591,0.985302
18,0.007774,0.008528,0.992277,0.984684
19,0.007461,0.008105,0.992798,0.985709
20,0.007243,0.007670,0.993153,0.986409
