Epoch,Train Loss,Val Loss,Val Dice,Val IoU
1,0.113965,0.086423,0.942431,0.891555
2,0.018847,0.055183,0.963437,0.929588
3,0.013263,0.043571,0.972107,0.945841
4,0.010899,0.017248,0.986897,0.974164
5,0.009612,0.011416,0.990390,0.980979
6,0.008548,0.009488,0.991877,0.983893
7,0.007938,0.008518,0.992607,0.985332
8,0.007446,0.007958,0.992940,0.985985
9,0.006887,0.007655,0.993153,0.986407
10,0.006754,0.007459,0.993350,0.986795
11,0.006289,0.007013,0.993649,0.987384
12,0.005954,0.006660,0.994098,0.988272
13,0.005847,0.006552,0.994124,0.988321
14,0.005455,0.006794,0.993827,0.987734
15,0.005385,0.006287,0.994314,0.988698
16,0.004991,0.006300,0.994369,0.988806
17,0.004910,0.006464,0.994224,0.988520
18,0.004826,0.006265,0.994442,0.988951
19,0.004647,0.006290,0.994426,0.988918
20,0.004582,0.006240,0.994469,0.989003
