Epoch,Train Loss,Val Loss,Val Dice,Val IoU
1,0.101675,0.028051,0.986060,0.972541
2,0.021002,0.017027,0.988224,0.976752
3,0.014531,0.012850,0.990583,0.981356
4,0.011286,0.011046,0.991118,0.982403
5,0.009952,0.010693,0.991312,0.982789
6,0.009149,0.010565,0.991247,0.982659
7,0.008331,0.008679,0.992561,0.985242
8,0.007584,0.048891,0.960571,0.928481
9,0.007182,0.008448,0.992470,0.985061
10,0.006763,0.007585,0.993304,0.986705
11,0.006610,0.007526,0.993359,0.986814
12,0.006103,0.007723,0.993183,0.986468
13,0.005765,0.007726,0.993219,0.986539
14,0.005729,0.007026,0.993730,0.987544
15,0.005426,0.007418,0.993541,0.987171
16,0.005147,0.008193,0.993043,0.986190
17,0.004987,0.016969,0.983858,0.968905
